Name: Walter-Meckauer-Weg, Instruction: Head northeast on Walter-Meckauer-Weg, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 464.3 meters, Time: 334.3 seconds
Name: -, Instruction: Turn right, Distance: 44.4 meters, Time: 32.0 seconds
Name: Ludwig-Brück-Straße, Instruction: Turn right onto Ludwig-Brück-Straße, Distance: 468.5 meters, Time: 337.3 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 102.4 meters, Time: 73.7 seconds
Name: Schimmelweg, Instruction: Turn slight right onto Schimmelweg, Distance: 197.9 meters, Time: 142.5 seconds
Name: Burgauerstraße, Instruction: Turn right onto Burgauerstraße, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
