Name: East 9th Avenue, Instruction: Head west on East 9th Avenue, Distance: 36.4 meters, Time: 26.2 seconds
Name: Cheesman Park Road, Instruction: Turn left onto Cheesman Park Road, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 161.1 meters, Time: 116.0 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 176.6 meters, Time: 127.2 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep right, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn slight right, Distance: 67.0 meters, Time: 48.3 seconds
Name: Humboldt Street, Instruction: Turn left onto Humboldt Street, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn left, Distance: 389.0 meters, Time: 280.1 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 76.9 seconds
Name: Marion Street, Instruction: Turn left onto Marion Street, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
