Name: Dee Street, Instruction: Head west on Dee Street, Distance: 116.1 meters, Time: 83.6 seconds
Name: Ettrick Street, Instruction: Turn right onto Ettrick Street, Distance: 54.2 meters, Time: 39.0 seconds
Name: Ettrick Street, Instruction: Turn left onto Ettrick Street, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Keep left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.4 seconds
Name: Dewberry Street, Instruction: Turn left onto Dewberry Street, Distance: 57.6 meters, Time: 41.5 seconds
Name: Dewberry Street, Instruction: Turn right onto Dewberry Street, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.3 seconds
Name: Spey Street, Instruction: Turn left onto Spey Street, Distance: 18.8 meters, Time: 13.5 seconds
Name: St Leonard's Road, Instruction: Turn right onto St Leonard's Road, Distance: 58.5 meters, Time: 42.1 seconds
Name: St Leonard's Road, Instruction: Continue straight onto St Leonard's Road, Distance: 218.1 meters, Time: 157.0 seconds
Name: Clutton Street, Instruction: Turn left onto Clutton Street, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Keep left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 75.8 meters, Time: 54.6 seconds
Name: -, Instruction: Turn right, Distance: 67.5 meters, Time: 48.6 seconds
Name: Morris Road, Instruction: Turn right onto Morris Road, Distance: 135.0 meters, Time: 97.2 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.8 seconds
Name: Yeo Street, Instruction: Turn right onto Yeo Street, Distance: 6.3 meters, Time: 4.5 seconds
Name: Violet Road, Instruction: Turn left onto Violet Road, Distance: 153.8 meters, Time: 110.7 seconds
Name: Fittleton Gardens, Instruction: Turn right onto Fittleton Gardens, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 257.6 meters, Time: 185.5 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: Devons Road, Instruction: Turn left onto Devons Road, Distance: 11.4 meters, Time: 8.2 seconds
Name: Devons Road, Instruction: Keep left onto Devons Road, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at Devons Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
