Name: Woodlands Drive 52, Instruction: Head southeast on Woodlands Drive 52, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.4 seconds
Name: -, Instruction: Turn left, Distance: 213.3 meters, Time: 153.6 seconds
Name: Town Council Cycling Path, Instruction: Turn right onto Town Council Cycling Path, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 415.2 meters, Time: 299.0 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 348.1 meters, Time: 250.6 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight left, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 132.5 meters, Time: 95.4 seconds
Name: Woodlands (Ave 12) Park Connector, Instruction: Turn left onto Woodlands (Ave 12) Park Connector, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
