Name: Orchard View Boulevard, Instruction: Head east on Orchard View Boulevard, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 115.5 meters, Time: 83.1 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 195.7 meters, Time: 140.9 seconds
Name: -, Instruction: Keep left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Continue straight, Distance: 232.9 meters, Time: 167.7 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 236.6 meters, Time: 170.3 seconds
Name: -, Instruction: Turn right, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Turn left, Distance: 306.4 meters, Time: 220.6 seconds
Name: -, Instruction: Turn right, Distance: 271.3 meters, Time: 195.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
