Name: East Purdue Place, Instruction: Head east on East Purdue Place, Distance: 58.0 meters, Time: 41.7 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 196.5 meters, Time: 141.5 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: East Radcliff Drive, Instruction: Turn left onto East Radcliff Drive, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 165.3 meters, Time: 119.0 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
