Name: Warner Road, Instruction: Head southwest on Warner Road, Distance: 354.3 meters, Time: 255.1 seconds
Name: Denmark Road, Instruction: Turn right onto Denmark Road, Distance: 30.6 meters, Time: 22.1 seconds
Name: Carew Street, Instruction: Turn left onto Carew Street, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 235.5 meters, Time: 169.6 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: Carew Street, Instruction: Turn left onto Carew Street, Distance: 6.4 meters, Time: 4.6 seconds
Name: Lilford Road, Instruction: Turn left onto Lilford Road, Distance: 91.2 meters, Time: 65.7 seconds
Name: Flaxman Road, Instruction: Turn right onto Flaxman Road, Distance: 417.6 meters, Time: 300.7 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Keep left, Distance: 78.0 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 1008.9 meters, Time: 726.4 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
