Name: Passage Guénot, Instruction: Head east on Passage Guénot, Distance: 8.6 meters, Time: 6.2 seconds
Name: Boulevard Voltaire, Instruction: Turn right onto Boulevard Voltaire, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 189.5 meters, Time: 136.4 seconds
Name: -, Instruction: Keep left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Keep left, Distance: 218.1 meters, Time: 157.0 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Keep right, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Avenue du Bel Air, Instruction: Turn right onto Avenue du Bel Air, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 249.9 meters, Time: 179.9 seconds
Name: -, Instruction: Turn left, Distance: 251.3 meters, Time: 181.0 seconds
Name: -, Instruction: Turn right, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 115.6 meters, Time: 83.2 seconds
Name: -, Instruction: Turn slight right, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight left, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.8 seconds
Name: Rue Victor Chevreuil, Instruction: Turn left onto Rue Victor Chevreuil, Distance: 191.5 meters, Time: 137.9 seconds
Name: Avenue du Docteur Arnold Netter, Instruction: Turn right onto Avenue du Docteur Arnold Netter, Distance: 25.0 meters, Time: 18.0 seconds
Name: Rue de Rambervillers, Instruction: Turn left onto Rue de Rambervillers, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 104.2 meters, Time: 75.0 seconds
Name: Rue de Rambervillers, Instruction: Turn right onto Rue de Rambervillers, Distance: 7.1 meters, Time: 5.1 seconds
Name: Rue du Sahel, Instruction: Turn left onto Rue du Sahel, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: La Coulée Verte, Instruction: Turn left onto La Coulée Verte, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Keep right, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn slight left, Distance: 12.0 meters, Time: 8.6 seconds
Name: Boulevard Soult, Instruction: Turn right onto Boulevard Soult, Distance: 169.5 meters, Time: 122.0 seconds
Name: -, Instruction: Keep left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
