Name: Grange Road, Instruction: Head west on Grange Road, Distance: 30.1 meters, Time: 21.6 seconds
Name: Ashton Road, Instruction: Turn right onto Ashton Road, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 746.6 meters, Time: 537.5 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 201.5 meters, Time: 145.1 seconds
Name: -, Instruction: Turn right, Distance: 231.4 meters, Time: 166.6 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: Bellwood Avenue, Instruction: Turn left onto Bellwood Avenue, Distance: 192.8 meters, Time: 138.8 seconds
Name: Cricket Avenue, Instruction: Turn left onto Cricket Avenue, Distance: 224.1 meters, Time: 161.4 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
