Name: Queen Natalie Place, Instruction: Head northwest on Queen Natalie Place, Distance: 65.5 meters, Time: 47.1 seconds
Name: Sturm Avenue, Instruction: Enter the roundabout and take the 1st exit onto Sturm Avenue, Distance: 385.8 meters, Time: 277.8 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 180.9 meters, Time: 130.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Flagstaff Place, Instruction: Turn left onto Flagstaff Place, Distance: 7.2 meters, Time: 5.2 seconds
Name: Widmore Drive, Instruction: Turn left onto Widmore Drive, Distance: 51.6 meters, Time: 37.1 seconds
Name: White Heron Drive, Instruction: Turn right onto White Heron Drive, Distance: 179.7 meters, Time: 129.4 seconds
Name: -, Instruction: Turn left, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Turn right, Distance: 253.2 meters, Time: 182.3 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Ruze Vida Drive, Instruction: Turn left onto Ruze Vida Drive, Distance: 231.2 meters, Time: 166.5 seconds
Name: Jadewynn Drive, Instruction: Turn right onto Jadewynn Drive, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at Jadewynn Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
