Name: Lantana Road, Instruction: Head west on Lantana Road, Distance: 326.8 meters, Time: 235.3 seconds
Name: La Rosa Street, Instruction: Turn right onto La Rosa Street, Distance: 94.1 meters, Time: 67.7 seconds
Name: -, Instruction: Turn left, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Keep right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 130.9 meters, Time: 94.3 seconds
Name: -, Instruction: Keep right, Distance: 462.6 meters, Time: 333.1 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 397.2 meters, Time: 286.0 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight right, Distance: 294.6 meters, Time: 212.1 seconds
Name: -, Instruction: Turn slight left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 328.4 meters, Time: 236.4 seconds
Name: Northall Road, Instruction: Turn left onto Northall Road, Distance: 169.1 meters, Time: 121.7 seconds
Name: Westall Road, Instruction: Turn right onto Westall Road, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
