Name: Veronica Place, Instruction: Head southeast on Veronica Place, Distance: 457.8 meters, Time: 329.6 seconds
Name: -, Instruction: Turn slight left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 288.7 meters, Time: 207.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Waterworth Drive, Instruction: Turn left onto Waterworth Drive, Distance: 29.8 meters, Time: 21.5 seconds
Name: Waterworth Drive, Instruction: Enter the roundabout and take the 3rd exit onto Waterworth Drive, Distance: 157.5 meters, Time: 113.4 seconds
Name: Waterworth Drive, Instruction: Enter the roundabout and take the 1st exit onto Waterworth Drive, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Turn right, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Keep left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Keep right, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Keep left, Distance: 81.6 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 121.4 meters, Time: 87.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 275.3 meters, Time: 198.2 seconds
Name: Watson Road, Instruction: Turn slight left onto Watson Road, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Arrive at Watson Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
