Name: Place Marie de Miribel, Instruction: Head northeast on Place Marie de Miribel, Distance: 28.3 meters, Time: 20.4 seconds
Name: Boulevard Davout, Instruction: Turn slight left onto Boulevard Davout, Distance: 39.9 meters, Time: 28.7 seconds
Name: Rue Eugène Reisz, Instruction: Turn right onto Rue Eugène Reisz, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep right, Distance: 281.3 meters, Time: 202.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Rue Louis Lumière, Instruction: Turn left onto Rue Louis Lumière, Distance: 432.2 meters, Time: 311.2 seconds
Name: Rue Henri Duvernois, Instruction: Turn right onto Rue Henri Duvernois, Distance: 91.6 meters, Time: 66.0 seconds
Name: Rue Henri Duvernois, Instruction: Turn right onto Rue Henri Duvernois, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 145.8 meters, Time: 105.0 seconds
Name: Rue Joseph Python, Instruction: Turn right onto Rue Joseph Python, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 163.6 meters, Time: 117.8 seconds
Name: -, Instruction: Turn left, Distance: 78.3 meters, Time: 56.3 seconds
Name: Rue des Champeaux, Instruction: Turn left onto Rue des Champeaux, Distance: 118.8 meters, Time: 85.5 seconds
Name: Rue des Champeaux, Instruction: Keep left onto Rue des Champeaux, Distance: 81.1 meters, Time: 58.4 seconds
Name: Rue des Champeaux, Instruction: Turn right onto Rue des Champeaux, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn slight left, Distance: 25.1 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 81.2 meters, Time: 58.4 seconds
Name: Rue Robespierre, Instruction: Turn sharp left onto Rue Robespierre, Distance: 128.1 meters, Time: 92.2 seconds
Name: Avenue des Camélias, Instruction: Turn sharp right onto Avenue des Camélias, Distance: 54.7 meters, Time: 39.4 seconds
Name: Avenue des Camélias, Instruction: Turn right onto Avenue des Camélias, Distance: 170.0 meters, Time: 122.4 seconds
Name: Rue du Général Leclerc, Instruction: Turn sharp right onto Rue du Général Leclerc, Distance: 231.4 meters, Time: 166.6 seconds
Name: -, Instruction: Arrive at Rue du Général Leclerc, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
