Name: Ottery Road, Instruction: Head north on Ottery Road, Distance: 211.6 meters, Time: 152.3 seconds
Name: -, Instruction: Turn left, Distance: 403.0 meters, Time: 290.2 seconds
Name: -, Instruction: Turn right, Distance: 170.0 meters, Time: 122.4 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: Mahillon Road, Instruction: Turn right onto Mahillon Road, Distance: 81.9 meters, Time: 58.9 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 78.1 meters, Time: 56.3 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: Mahillon Road, Instruction: Turn left onto Mahillon Road, Distance: 263.1 meters, Time: 189.4 seconds
Name: -, Instruction: Turn left, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
