Name: Helene-Wessel-Bogen, Instruction: Head south on Helene-Wessel-Bogen, Distance: 130.6 meters, Time: 94.0 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.3 seconds
Name: Maria-Probst-Straße, Instruction: Turn slight right onto Maria-Probst-Straße, Distance: 302.0 meters, Time: 217.4 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Maria-Probst-Straße, Instruction: Turn right onto Maria-Probst-Straße, Distance: 7.1 meters, Time: 5.1 seconds
Name: Maria-Probst-Straße, Instruction: Keep left onto Maria-Probst-Straße, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: Maria-Probst-Straße, Instruction: Turn right onto Maria-Probst-Straße, Distance: 7.7 meters, Time: 5.5 seconds
Name: Maria-Probst-Straße, Instruction: Keep left onto Maria-Probst-Straße, Distance: 226.9 meters, Time: 163.4 seconds
Name: Ingolstädter Straße, Instruction: Turn slight left onto Ingolstädter Straße, Distance: 318.4 meters, Time: 229.2 seconds
Name: Ingolstädter Straße, Instruction: Turn right onto Ingolstädter Straße, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
