Name: Bruce Ferguson Avenue, Instruction: Head west on Bruce Ferguson Avenue, Distance: 148.2 meters, Time: 106.7 seconds
Name: Theatre Walk, Instruction: Turn right onto Theatre Walk, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 138.5 meters, Time: 99.7 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Paul Cullen Drive, Instruction: Turn right onto Paul Cullen Drive, Distance: 68.7 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn slight left, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 74.8 meters, Time: 53.8 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
