Name: Kenning Street, Instruction: Head southwest on Kenning Street, Distance: 14.8 meters, Time: 10.7 seconds
Name: Railway Avenue, Instruction: Turn right onto Railway Avenue, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: Hatteraick Road, Instruction: Turn left onto Hatteraick Road, Distance: 92.6 meters, Time: 66.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 40.2 meters, Time: 29.0 seconds
Name: St Marychurch Street, Instruction: Turn left onto St Marychurch Street, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 427.2 meters, Time: 307.5 seconds
Name: West Lane, Instruction: Turn left onto West Lane, Distance: 48.8 meters, Time: 35.1 seconds
Name: West Lane, Instruction: Keep right onto West Lane, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 231.7 meters, Time: 166.8 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: Jamaica Road, Instruction: Turn right onto Jamaica Road, Distance: 193.5 meters, Time: 139.3 seconds
Name: -, Instruction: Turn right, Distance: 107.0 meters, Time: 77.0 seconds
Name: -, Instruction: Turn left, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
