Name: Rue du Général Delestraint, Instruction: Head east on Rue du Général Delestraint, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn slight right, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn left, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 73.7 meters, Time: 53.0 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
