Name: Rue Violet, Instruction: Head northeast on Rue Violet, Distance: 751.1 meters, Time: 540.8 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
