Name: Rue Darcel, Instruction: Head north on Rue Darcel, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 16.8 meters, Time: 12.1 seconds
Name: Avenue Robert Schuman, Instruction: Turn left onto Avenue Robert Schuman, Distance: 8.4 meters, Time: 6.0 seconds
Name: Avenue Robert Schuman, Instruction: Keep left onto Avenue Robert Schuman, Distance: 145.2 meters, Time: 104.5 seconds
Name: Avenue Robert Schuman, Instruction: Turn slight right onto Avenue Robert Schuman, Distance: 15.0 meters, Time: 10.8 seconds
Name: Avenue Gordon-Bennett, Instruction: Continue straight onto Avenue Gordon-Bennett, Distance: 281.1 meters, Time: 202.4 seconds
Name: Avenue de la Porte d'Auteuil, Instruction: Turn right onto Avenue de la Porte d'Auteuil, Distance: 50.6 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn right, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn slight right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn slight right, Distance: 95.0 meters, Time: 68.4 seconds
Name: -, Instruction: Keep left, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Keep right, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Keep right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Keep right, Distance: 272.6 meters, Time: 196.3 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: Route d'Auteuil aux Lacs, Instruction: Turn sharp right onto Route d'Auteuil aux Lacs, Distance: 14.7 meters, Time: 10.6 seconds
Name: Chemin de Ceinture du Lac Supérieur, Instruction: Turn left onto Chemin de Ceinture du Lac Supérieur, Distance: 415.9 meters, Time: 299.4 seconds
Name: -, Instruction: Turn left, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
