Name: Dover Rise, Instruction: Head northeast on Dover Rise, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 291.6 meters, Time: 210.0 seconds
Name: -, Instruction: Turn right, Distance: 401.2 meters, Time: 288.9 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 139.4 meters, Time: 100.4 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Ghim Moh Link, Instruction: Turn right onto Ghim Moh Link, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 231.9 meters, Time: 167.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
