Name: Cooperage Street, Instruction: Head south on Cooperage Street, Distance: 65.3 meters, Time: 47.0 seconds
Name: Front Street East, Instruction: Turn right onto Front Street East, Distance: 352.0 meters, Time: 253.5 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 136.9 meters, Time: 98.6 seconds
Name: -, Instruction: Keep right, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 221.4 meters, Time: 159.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 82.6 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
