Name: Dahlia Street, Instruction: Head west on Dahlia Street, Distance: 76.0 meters, Time: 54.7 seconds
Name: Alpha Road, Instruction: Turn right onto Alpha Road, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 259.9 meters, Time: 187.1 seconds
Name: -, Instruction: Keep right, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 703.1 meters, Time: 506.3 seconds
Name: -, Instruction: Keep right, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 513.3 meters, Time: 369.6 seconds
Name: -, Instruction: Turn left, Distance: 98.3 meters, Time: 70.8 seconds
Name: Nelsons Grove Avenue, Instruction: Turn right onto Nelsons Grove Avenue, Distance: 82.2 meters, Time: 59.2 seconds
Name: White Lane, Instruction: Keep left onto White Lane, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Arrive at White Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
