Name: Tusculum Road, Instruction: Head west on Tusculum Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: Currawong Avenue, Instruction: Turn left onto Currawong Avenue, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 573.3 meters, Time: 412.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 381.5 meters, Time: 274.7 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Turn left, Distance: 552.2 meters, Time: 397.6 seconds
Name: Dheran Pathway, Instruction: Turn sharp right onto Dheran Pathway, Distance: 80.3 meters, Time: 57.8 seconds
Name: Boland Avenue, Instruction: Turn right onto Boland Avenue, Distance: 107.0 meters, Time: 77.0 seconds
Name: Boland Lane, Instruction: Turn right onto Boland Lane, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
