Name: Military Close, Instruction: Head north on Military Close, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight right, Distance: 324.5 meters, Time: 233.7 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 414.9 meters, Time: 298.7 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 181.3 meters, Time: 130.5 seconds
Name: -, Instruction: Continue straight, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 58.0 meters, Time: 41.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
