Name: Rue Bruneseau, Instruction: Head northwest on Rue Bruneseau, Distance: 8.9 meters, Time: 6.4 seconds
Name: Boulevard du Général d'Armée Jean Simon, Instruction: Turn sharp right onto Boulevard du Général d'Armée Jean Simon, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 216.3 meters, Time: 155.7 seconds
Name: Boulevard du Général d'Armée Jean Simon, Instruction: Turn right onto Boulevard du Général d'Armée Jean Simon, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 316.9 meters, Time: 228.2 seconds
Name: -, Instruction: Turn slight left, Distance: 102.4 meters, Time: 73.7 seconds
Name: -, Instruction: Keep left, Distance: 608.5 meters, Time: 438.1 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: Avenue de la Porte de Charenton, Instruction: Turn right onto Avenue de la Porte de Charenton, Distance: 145.2 meters, Time: 104.5 seconds
Name: Avenue Centrale, Instruction: Turn right onto Avenue Centrale, Distance: 15.1 meters, Time: 10.9 seconds
Name: Avenue des Platanes, Instruction: Turn right onto Avenue des Platanes, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
