Name: Albert Avenue, Instruction: Head southeast on Albert Avenue, Distance: 13.5 meters, Time: 9.8 seconds
Name: Stanley Avenue, Instruction: Turn left onto Stanley Avenue, Distance: 144.1 meters, Time: 103.7 seconds
Name: Burlington Street, Instruction: Turn right onto Burlington Street, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 742.4 meters, Time: 534.6 seconds
Name: -, Instruction: Turn left, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn right, Distance: 269.5 meters, Time: 194.1 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 215.8 meters, Time: 155.4 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
