Name: Allée Arthur Honegger, Instruction: Head south on Allée Arthur Honegger, Distance: 165.9 meters, Time: 119.5 seconds
Name: -, Instruction: Turn left, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Turn slight right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 78.4 meters, Time: 56.5 seconds
Name: -, Instruction: Turn right, Distance: 256.8 meters, Time: 184.9 seconds
Name: Avenue de la Porte Brunet, Instruction: Turn left onto Avenue de la Porte Brunet, Distance: 8.7 meters, Time: 6.3 seconds
Name: Rue Sigmund Freud, Instruction: Turn right onto Rue Sigmund Freud, Distance: 689.0 meters, Time: 496.0 seconds
Name: Avenue du Belvédère, Instruction: Continue straight onto Avenue du Belvédère, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 114.8 meters, Time: 82.6 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Avenue du Belvédère, Instruction: Turn right onto Avenue du Belvédère, Distance: 209.6 meters, Time: 150.9 seconds
Name: Rue de l'Égalité, Instruction: Turn left onto Rue de l'Égalité, Distance: 233.0 meters, Time: 167.8 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Continue straight, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
