Name: Hulme Place, Instruction: Head southeast on Hulme Place, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 161.5 meters, Time: 116.3 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 492.9 meters, Time: 354.9 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 230.8 meters, Time: 166.2 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 183.9 meters, Time: 132.4 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn slight right, Distance: 87.7 meters, Time: 63.2 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 100.4 meters, Time: 72.3 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Keep left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Keep left, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 74.2 meters, Time: 53.4 seconds
Name: Lollard Street, Instruction: Turn sharp left onto Lollard Street, Distance: 9.3 meters, Time: 6.7 seconds
Name: John Street, Instruction: Turn right onto John Street, Distance: 90.5 meters, Time: 65.2 seconds
Name: Marylee Way, Instruction: Continue straight onto Marylee Way, Distance: 73.1 meters, Time: 52.6 seconds
Name: Beaufoy Walk, Instruction: Continue straight onto Beaufoy Walk, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Arrive at Beaufoy Walk, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
