Name: Duncan Street, Instruction: Head south on Duncan Street, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Turn left, Distance: 128.4 meters, Time: 92.4 seconds
Name: -, Instruction: Turn right, Distance: 213.7 meters, Time: 153.9 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn right, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Continue straight, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn slight left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: Grand Atrium, Instruction: Turn left onto Grand Atrium, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 125.2 meters, Time: 90.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
