Name: Gertrud-Kückelmann-Weg, Instruction: Head south on Gertrud-Kückelmann-Weg, Distance: 233.3 meters, Time: 167.9 seconds
Name: Wichernweg, Instruction: Turn slight left onto Wichernweg, Distance: 29.5 meters, Time: 21.3 seconds
Name: Neubiberger Straße, Instruction: Turn sharp left onto Neubiberger Straße, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Keep left, Distance: 24.4 meters, Time: 17.5 seconds
Name: Hofer Straße, Instruction: Continue straight onto Hofer Straße, Distance: 28.9 meters, Time: 20.8 seconds
Name: Hofer Straße, Instruction: Turn slight left onto Hofer Straße, Distance: 206.1 meters, Time: 148.4 seconds
Name: -, Instruction: Turn left, Distance: 87.7 meters, Time: 63.2 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Nailastraße, Instruction: Turn right onto Nailastraße, Distance: 185.0 meters, Time: 133.2 seconds
Name: Hermann-Pünder-Straße, Instruction: Turn left onto Hermann-Pünder-Straße, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 350.0 meters, Time: 252.0 seconds
Name: -, Instruction: Keep right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn slight right, Distance: 28.6 meters, Time: 20.6 seconds
Name: Berghammerweg, Instruction: Turn left onto Berghammerweg, Distance: 76.6 meters, Time: 55.2 seconds
Name: Bajuwarenweg, Instruction: Turn right onto Bajuwarenweg, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Keep right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
