Name: Hodge Lane, Instruction: Head north on Hodge Lane, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 45.9 meters, Time: 33.0 seconds
Name: Osborne Avenue, Instruction: Turn right onto Osborne Avenue, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Keep left, Distance: 39.8 meters, Time: 28.6 seconds
Name: GO Train Access, Instruction: Continue straight onto GO Train Access, Distance: 164.0 meters, Time: 118.1 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Keep left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn right, Distance: 131.5 meters, Time: 94.7 seconds
Name: -, Instruction: Turn left, Distance: 280.5 meters, Time: 202.0 seconds
Name: Westlake Avenue, Instruction: Turn right onto Westlake Avenue, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn slight left, Distance: 169.9 meters, Time: 122.3 seconds
Name: -, Instruction: Keep left, Distance: 103.5 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 474.4 meters, Time: 341.5 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
