Name: Northline Road, Instruction: Head east on Northline Road, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn left, Distance: 220.6 meters, Time: 158.8 seconds
Name: -, Instruction: Turn right, Distance: 285.4 meters, Time: 205.5 seconds
Name: -, Instruction: Turn left, Distance: 159.3 meters, Time: 114.7 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Warner Avenue, Instruction: Turn right onto Warner Avenue, Distance: 197.6 meters, Time: 142.3 seconds
Name: -, Instruction: Turn right, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn left, Distance: 591.8 meters, Time: 426.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.8 seconds
Name: -, Instruction: Turn left, Distance: 116.4 meters, Time: 83.8 seconds
Name: -, Instruction: Turn left, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
