Name: Victoria Street, Instruction: Head west on Victoria Street, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 193.9 meters, Time: 139.6 seconds
Name: Kazanis Court, Instruction: Turn left onto Kazanis Court, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Werrington Station Concourse, Instruction: Turn left onto Werrington Station Concourse, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 855.9 meters, Time: 616.3 seconds
Name: Water Street, Instruction: Turn left onto Water Street, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 123.8 meters, Time: 89.2 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 499.2 meters, Time: 359.4 seconds
Name: -, Instruction: Turn right, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
