Name: Rue de la Planche, Instruction: Head south on Rue de la Planche, Distance: 46.4 meters, Time: 33.4 seconds
Name: Rue de Commaille, Instruction: Turn right onto Rue de Commaille, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight left, Distance: 104.1 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue du Bac, Instruction: Turn left onto Rue du Bac, Distance: 575.1 meters, Time: 414.0 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Keep left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 182.4 meters, Time: 131.3 seconds
Name: -, Instruction: Turn right, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Turn left, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn slight right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Rue de l'Arrivée, Instruction: Turn left onto Rue de l'Arrivée, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Keep left, Distance: 215.6 meters, Time: 155.2 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
