Name: Quai B, Instruction: Head northwest on Quai B, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: Rue des Grands Moulins, Instruction: Turn left onto Rue des Grands Moulins, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Keep right, Distance: 280.5 meters, Time: 201.9 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 174.5 meters, Time: 125.7 seconds
Name: -, Instruction: Turn slight right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn slight right, Distance: 170.3 meters, Time: 122.6 seconds
Name: Place du Professeur Christian Cabrol, Instruction: Turn left onto Place du Professeur Christian Cabrol, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
