Name: Spottiswoode Park Road, Instruction: Head north on Spottiswoode Park Road, Distance: 258.9 meters, Time: 186.4 seconds
Name: -, Instruction: Turn right, Distance: 56.0 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 143.1 meters, Time: 103.0 seconds
Name: Everton Road, Instruction: Turn right onto Everton Road, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 169.2 meters, Time: 121.9 seconds
Name: -, Instruction: Turn left, Distance: 145.5 meters, Time: 104.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn slight right, Distance: 148.3 meters, Time: 106.8 seconds
Name: Craig Road, Instruction: Turn left onto Craig Road, Distance: 11.2 meters, Time: 8.0 seconds
Name: Neil Road, Instruction: Turn right onto Neil Road, Distance: 179.7 meters, Time: 129.4 seconds
Name: Kreta Ayer Road, Instruction: Turn sharp left onto Kreta Ayer Road, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 158.3 meters, Time: 114.0 seconds
Name: -, Instruction: Turn right, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn slight left, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Keep left, Distance: 122.1 meters, Time: 87.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
