Name: Linton Road, Instruction: Head south on Linton Road, Distance: 157.9 meters, Time: 113.7 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: London Road, Instruction: Turn right onto London Road, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: North Street, Instruction: Turn right onto North Street, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: Abbey Road, Instruction: Turn right onto Abbey Road, Distance: 5.6 meters, Time: 4.1 seconds
Name: London Road, Instruction: Turn left onto London Road, Distance: 357.4 meters, Time: 257.3 seconds
Name: -, Instruction: Turn right, Distance: 217.3 meters, Time: 156.4 seconds
Name: -, Instruction: Continue straight, Distance: 971.0 meters, Time: 699.1 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
