Name: Letterkenny Place, Instruction: Head south on Letterkenny Place, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 274.9 meters, Time: 198.0 seconds
Name: -, Instruction: Turn left, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 410.7 meters, Time: 295.7 seconds
Name: -, Instruction: Turn slight left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Rosamund Avenue, Instruction: Turn right onto Rosamund Avenue, Distance: 103.3 meters, Time: 74.4 seconds
Name: Haycock Avenue, Instruction: Turn right onto Haycock Avenue, Distance: 60.9 meters, Time: 43.8 seconds
Name: John Davis Road, Instruction: Turn left onto John Davis Road, Distance: 379.1 meters, Time: 272.9 seconds
Name: Wayne Place, Instruction: Turn right onto Wayne Place, Distance: 152.3 meters, Time: 109.7 seconds
Name: -, Instruction: Arrive at Wayne Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
