Name: Grosvenor Road, A3212, Instruction: Head west on Grosvenor Road, A3212, Distance: 51.7 meters, Time: 37.2 seconds
Name: Claverton Street, Instruction: Turn right onto Claverton Street, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 867.7 meters, Time: 624.7 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 33.7 meters, Time: 24.3 seconds
Name: Chelsea Bridge, Instruction: Turn sharp left onto Chelsea Bridge, Distance: 265.1 meters, Time: 190.9 seconds
Name: -, Instruction: Continue straight, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: Carriage Drive North, Instruction: Turn right onto Carriage Drive North, Distance: 9.8 meters, Time: 7.1 seconds
Name: Carriage Drive North, Instruction: Turn right onto Carriage Drive North, Distance: 583.9 meters, Time: 420.4 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep right, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn right, Distance: 142.3 meters, Time: 102.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
