Name: Quakers Road, Instruction: Head northwest on Quakers Road, Distance: 65.9 meters, Time: 47.4 seconds
Name: Elwood Crescent, Instruction: Turn left onto Elwood Crescent, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight left, Distance: 578.8 meters, Time: 416.8 seconds
Name: -, Instruction: Turn right, Distance: 180.7 meters, Time: 130.1 seconds
Name: Breakfast Creek Shared Path, Instruction: Turn left onto Breakfast Creek Shared Path, Distance: 283.1 meters, Time: 203.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.6 meters, Time: 16.3 seconds
Name: Jasmine Avenue, Instruction: Turn sharp left onto Jasmine Avenue, Distance: 408.6 meters, Time: 294.2 seconds
Name: -, Instruction: Turn left, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 76.9 meters, Time: 55.3 seconds
Name: -, Instruction: Keep right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight right, Distance: 263.8 meters, Time: 189.9 seconds
Name: -, Instruction: Keep right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Keep left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Keera Street, Instruction: Turn right onto Keera Street, Distance: 6.0 meters, Time: 4.3 seconds
Name: Alford Street, Instruction: Turn left onto Alford Street, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at Alford Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
