Name: Stapleton Street, Instruction: Head east on Stapleton Street, Distance: 432.2 meters, Time: 311.2 seconds
Name: Emert Street, Instruction: Turn right onto Emert Street, Distance: 102.4 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn slight right, Distance: 232.6 meters, Time: 167.5 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 219.3 meters, Time: 157.9 seconds
Name: -, Instruction: Turn slight left, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn right, Distance: 279.3 meters, Time: 201.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn right, Distance: 326.2 meters, Time: 234.9 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Lytton Street, Instruction: Turn right onto Lytton Street, Distance: 9.4 meters, Time: 6.7 seconds
Name: Fullagar Road, Instruction: Enter the roundabout and take the 1st exit onto Fullagar Road, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Arrive at Fullagar Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
