Name: Science Park Drive, Instruction: Head northwest on Science Park Drive, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn left, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn slight left, Distance: 229.8 meters, Time: 165.4 seconds
Name: -, Instruction: Keep right, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn slight right, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 372.6 meters, Time: 268.3 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Keep right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Media Circle, Instruction: Turn right onto Media Circle, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn slight right, Distance: 186.3 meters, Time: 134.1 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: Westbourne Road, Instruction: Turn right onto Westbourne Road, Distance: 11.5 meters, Time: 8.3 seconds
Name: Woking Road, Instruction: Turn left onto Woking Road, Distance: 224.5 meters, Time: 161.6 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: Woking Road, Instruction: Turn right onto Woking Road, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
