Name: President Avenue, Instruction: Head west on President Avenue, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Continue straight, Distance: 304.4 meters, Time: 219.2 seconds
Name: -, Instruction: Turn left, Distance: 325.6 meters, Time: 234.4 seconds
Name: Glencoe Street, Instruction: Turn right onto Glencoe Street, Distance: 205.3 meters, Time: 147.8 seconds
Name: Flora Street, Instruction: Enter the roundabout and take the 1st exit onto Flora Street, Distance: 386.8 meters, Time: 278.5 seconds
Name: Flora Street, Instruction: Keep right onto Flora Street, Distance: 20.3 meters, Time: 14.6 seconds
Name: Flora Street, Instruction: Enter the roundabout and take the 3rd exit onto Flora Street, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
