Name: Schackstraße, Instruction: Head east on Schackstraße, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn right, Distance: 95.5 meters, Time: 68.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 95.4 meters, Time: 68.7 seconds
Name: Kaulbachstraße, Instruction: Turn right onto Kaulbachstraße, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Keep left, Distance: 32.7 meters, Time: 23.5 seconds
Name: Max-Joseph-Straße, Instruction: Keep right onto Max-Joseph-Straße, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Keep right, Distance: 114.3 meters, Time: 82.3 seconds
Name: Burgfriedenweg, Instruction: Keep right onto Burgfriedenweg, Distance: 296.2 meters, Time: 213.2 seconds
Name: -, Instruction: Keep left, Distance: 102.2 meters, Time: 73.6 seconds
Name: Oberstjägermeisterweg, Instruction: Turn left onto Oberstjägermeisterweg, Distance: 189.8 meters, Time: 136.7 seconds
Name: -, Instruction: Turn right, Distance: 151.1 meters, Time: 108.8 seconds
Name: Oettingenstraße, Instruction: Turn left onto Oettingenstraße, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 161.4 meters, Time: 116.2 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
