Name: Coach Drive, Instruction: Head southeast on Coach Drive, Distance: 192.1 meters, Time: 138.3 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 55.5 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn slight left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Creekwood Drive, Instruction: Turn left onto Creekwood Drive, Distance: 7.2 meters, Time: 5.2 seconds
Name: Boronia Drive, Instruction: Turn right onto Boronia Drive, Distance: 66.3 meters, Time: 47.7 seconds
Name: Geebung Court, Instruction: Turn sharp left onto Geebung Court, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 206.7 meters, Time: 148.8 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 251.7 meters, Time: 181.2 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Boronia Drive, Instruction: Turn left onto Boronia Drive, Distance: 9.4 meters, Time: 6.8 seconds
Name: Boronia Drive, Instruction: Enter the roundabout and take the 3rd exit onto Boronia Drive, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
