Name: Allée Louise Abbéma, Instruction: Head south on Allée Louise Abbéma, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: Rue de Lagny, Instruction: Turn left onto Rue de Lagny, Distance: 302.8 meters, Time: 218.0 seconds
Name: Rue de Lagny, Instruction: Continue straight onto Rue de Lagny, Distance: 605.9 meters, Time: 436.2 seconds
Name: Rue Armand Carrel, Instruction: Turn left onto Rue Armand Carrel, Distance: 167.5 meters, Time: 120.6 seconds
Name: Rue de Valmy, Instruction: Turn right onto Rue de Valmy, Distance: 725.5 meters, Time: 522.3 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 99.1 meters, Time: 71.4 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue des Deux Communes, Instruction: Turn left onto Rue des Deux Communes, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue Gilbert Clerfayt, Instruction: Turn sharp right onto Rue Gilbert Clerfayt, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
