Name: Ossington Avenue, Instruction: Head south on Ossington Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 70.7 meters, Time: 50.9 seconds
Name: -, Instruction: Keep left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Geary Avenue, Instruction: Turn right onto Geary Avenue, Distance: 299.1 meters, Time: 215.3 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 285.0 meters, Time: 205.2 seconds
Name: -, Instruction: Keep left, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Bartlett Avenue, Instruction: Turn left onto Bartlett Avenue, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 204.3 meters, Time: 147.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
