Name: Rua Rita Vieira, Instruction: Head northeast on Rua Rita Vieira, Distance: 84.3 meters, Time: 60.7 seconds
Name: Rua Alves, Instruction: Turn left onto Rua Alves, Distance: 51.4 meters, Time: 37.0 seconds
Name: Rua Andrade Figueira, Instruction: Turn left onto Rua Andrade Figueira, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn right, Distance: 127.5 meters, Time: 91.8 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn left onto Avenida Ministro Edgard Romero, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.4 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn sharp left onto Avenida Ministro Edgard Romero, Distance: 12.2 meters, Time: 8.8 seconds
Name: Rua Conselheiro Galvão, Instruction: Turn slight left onto Rua Conselheiro Galvão, Distance: 8.4 meters, Time: 6.1 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn right onto Avenida Ministro Edgard Romero, Distance: 219.2 meters, Time: 157.8 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: Estrada do Portela, Instruction: Turn left onto Estrada do Portela, Distance: 3.9 meters, Time: 2.8 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Keep right onto Avenida Ministro Edgard Romero, Distance: 77.9 meters, Time: 56.1 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn right onto Avenida Ministro Edgard Romero, Distance: 214.2 meters, Time: 154.2 seconds
Name: Rua Carolina Machado, Instruction: Turn right onto Rua Carolina Machado, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: Rua João Vicente, Instruction: Turn right onto Rua João Vicente, Distance: 150.3 meters, Time: 108.2 seconds
Name: Rua Ewbank da Câmara, Instruction: Turn left onto Rua Ewbank da Câmara, Distance: 583.2 meters, Time: 419.9 seconds
Name: Rua Capitão Couto Menezes, Instruction: Continue straight onto Rua Capitão Couto Menezes, Distance: 154.7 meters, Time: 111.4 seconds
Name: Rua Maria José, Instruction: Turn right onto Rua Maria José, Distance: 299.5 meters, Time: 215.6 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
