Name: St Dennis Drive, Instruction: Head east on St Dennis Drive, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 118.2 meters, Time: 85.1 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: Wilket Creek Road, Instruction: Turn right onto Wilket Creek Road, Distance: 4.7 meters, Time: 3.4 seconds
Name: Seton Park Road, Instruction: Turn left onto Seton Park Road, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Turn right, Distance: 65.4 meters, Time: 47.1 seconds
Name: Windom Road, Instruction: Turn left onto Windom Road, Distance: 8.2 meters, Time: 5.9 seconds
Name: Ferrand Drive, Instruction: Turn right onto Ferrand Drive, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Keep right, Distance: 14.7 meters, Time: 10.6 seconds
Name: Gervais Drive, Instruction: Turn slight right onto Gervais Drive, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 154.0 meters, Time: 110.9 seconds
Name: -, Instruction: Turn right, Distance: 109.7 meters, Time: 79.0 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 505.3 meters, Time: 363.8 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 191.7 meters, Time: 138.0 seconds
Name: Wren Court, Instruction: Turn right onto Wren Court, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Arrive at Wren Court, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
