Name: Place Jeanne d'Arc, Instruction: Head southeast on Place Jeanne d'Arc, Distance: 19.9 meters, Time: 14.3 seconds
Name: Rue Xaintrailles, Instruction: Keep right onto Rue Xaintrailles, Distance: 161.2 meters, Time: 116.1 seconds
Name: Rue de Domrémy, Instruction: Turn slight left onto Rue de Domrémy, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 266.7 meters, Time: 192.0 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Keep left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: Quai D, Instruction: Turn right onto Quai D, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
