Name: Wildenholzener Straße, Instruction: Head southeast on Wildenholzener Straße, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Turn left, Distance: 115.8 meters, Time: 83.4 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: Hechtseestraße, Instruction: Turn left onto Hechtseestraße, Distance: 17.7 meters, Time: 12.8 seconds
Name: Jäcklinstraße, Instruction: Turn right onto Jäcklinstraße, Distance: 29.3 meters, Time: 21.1 seconds
Name: Jäcklinstraße, Instruction: Keep left onto Jäcklinstraße, Distance: 173.8 meters, Time: 125.2 seconds
Name: Berger-Kreuz-Straße, Instruction: Turn right onto Berger-Kreuz-Straße, Distance: 383.1 meters, Time: 275.8 seconds
Name: Anzlgutstraße, Instruction: Turn left onto Anzlgutstraße, Distance: 173.7 meters, Time: 125.1 seconds
Name: Hofangerstraße, Instruction: Turn left onto Hofangerstraße, Distance: 6.1 meters, Time: 4.4 seconds
Name: Staudingerstraße, Instruction: Turn right onto Staudingerstraße, Distance: 973.6 meters, Time: 701.0 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Keep left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Keep right, Distance: 129.3 meters, Time: 93.1 seconds
Name: -, Instruction: Turn right, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
