Name: Ross Crescent, Instruction: Head southeast on Ross Crescent, Distance: 22.3 meters, Time: 16.0 seconds
Name: Taringha Street, Instruction: Turn left onto Taringha Street, Distance: 268.4 meters, Time: 193.2 seconds
Name: Great Blue Mountains Trail, Instruction: Turn right onto Great Blue Mountains Trail, Distance: 372.9 meters, Time: 268.5 seconds
Name: Great Blue Mountains Trail, Instruction: Turn slight left onto Great Blue Mountains Trail, Distance: 14.5 meters, Time: 10.5 seconds
Name: Great Blue Mountains Trail, Instruction: Turn slight right onto Great Blue Mountains Trail, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Continue straight, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 101.6 meters, Time: 73.1 seconds
Name: Boorea Street, Instruction: Turn right onto Boorea Street, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at Boorea Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
