Name: Yusuf Gool Boulevard, Instruction: Head north on Yusuf Gool Boulevard, Distance: 66.6 meters, Time: 48.0 seconds
Name: Klipfontein Service Road, Instruction: Turn left onto Klipfontein Service Road, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 59.0 seconds
Name: Primrose Street, Instruction: Turn left onto Primrose Street, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.6 seconds
Name: Delphinium Street, Instruction: Turn left onto Delphinium Street, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 310.0 meters, Time: 223.2 seconds
Name: -, Instruction: Turn right, Distance: 100.1 meters, Time: 72.0 seconds
Name: -, Instruction: Keep left, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn left, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.7 seconds
Name: -, Instruction: Turn slight right, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Keep left, Distance: 76.9 meters, Time: 55.4 seconds
Name: Loerie Road, Instruction: Turn right onto Loerie Road, Distance: 53.1 meters, Time: 38.3 seconds
Name: -, Instruction: Arrive at Loerie Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
