Name: Rua Ouricuri, Instruction: Head southwest on Rua Ouricuri, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: Rua Doutor Oswaldo Serra Macedo, Instruction: Turn right onto Rua Doutor Oswaldo Serra Macedo, Distance: 25.2 meters, Time: 18.1 seconds
Name: Avenida Almirante Frontin, Instruction: Turn sharp right onto Avenida Almirante Frontin, Distance: 301.5 meters, Time: 217.1 seconds
Name: Avenida Almirante Frontin, Instruction: Continue straight onto Avenida Almirante Frontin, Distance: 132.7 meters, Time: 95.5 seconds
Name: Avenida Almirante Frontin, Instruction: Continue straight onto Avenida Almirante Frontin, Distance: 89.2 meters, Time: 64.3 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn slight left, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: Avenida Brigadeiro Trompowski, Instruction: Turn left onto Avenida Brigadeiro Trompowski, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 246.6 meters, Time: 177.5 seconds
Name: Avenida Brigadeiro Trompowski, Instruction: Turn left onto Avenida Brigadeiro Trompowski, Distance: 57.4 meters, Time: 41.3 seconds
Name: Rua 18 de Abril, Instruction: Turn left onto Rua 18 de Abril, Distance: 132.0 meters, Time: 95.0 seconds
Name: Rua Santo Expedito, Instruction: Turn left onto Rua Santo Expedito, Distance: 30.7 meters, Time: 22.1 seconds
Name: Rua José Resende, Instruction: Turn right onto Rua José Resende, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 179.8 meters, Time: 129.5 seconds
Name: Rua Projetada, Instruction: Turn left onto Rua Projetada, Distance: 109.8 meters, Time: 79.0 seconds
Name: Rua Ari Leão, Instruction: Turn right onto Rua Ari Leão, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Arrive at Rua Ari Leão, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
