Name: Evelyn Avenue, Instruction: Head southeast on Evelyn Avenue, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 768.6 meters, Time: 553.4 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 118.0 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 311.0 meters, Time: 223.9 seconds
Name: -, Instruction: Turn left, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 45.8 meters, Time: 33.0 seconds
Name: Grantham Street, Instruction: Turn left onto Grantham Street, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 397.0 meters, Time: 285.8 seconds
Name: -, Instruction: Turn slight left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 419.0 meters, Time: 301.7 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
