Name: Rue Saint-Dominique, Instruction: Head west on Rue Saint-Dominique, Distance: 509.7 meters, Time: 367.0 seconds
Name: Avenue Joseph Bouvard, Instruction: Keep left onto Avenue Joseph Bouvard, Distance: 183.5 meters, Time: 132.1 seconds
Name: Avenue Joseph Bouvard, Instruction: Enter the roundabout and take the 3rd exit onto Avenue Joseph Bouvard, Distance: 233.3 meters, Time: 168.0 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 72.3 meters, Time: 52.0 seconds
Name: -, Instruction: Keep left, Distance: 7.7 meters, Time: 5.5 seconds
Name: Rue Desaix, Instruction: Turn right onto Rue Desaix, Distance: 331.3 meters, Time: 238.5 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Keep right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn slight right, Distance: 66.0 meters, Time: 47.5 seconds
Name: -, Instruction: Turn slight right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Daniel Stern, Instruction: Turn right onto Rue Daniel Stern, Distance: 41.4 meters, Time: 29.8 seconds
Name: Rue de Lourmel, Instruction: Keep left onto Rue de Lourmel, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
