Name: Greendale Avenue, Instruction: Head north on Greendale Avenue, Distance: 189.9 meters, Time: 136.7 seconds
Name: Lambton Avenue, Instruction: Turn right onto Lambton Avenue, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 86.0 meters, Time: 62.0 seconds
Name: -, Instruction: Turn left, Distance: 75.9 meters, Time: 54.7 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Guestville Avenue, Instruction: Turn left onto Guestville Avenue, Distance: 289.2 meters, Time: 208.2 seconds
Name: -, Instruction: Turn right, Distance: 92.3 meters, Time: 66.5 seconds
Name: -, Instruction: Keep left, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 373.5 meters, Time: 268.9 seconds
Name: -, Instruction: Turn left, Distance: 140.0 meters, Time: 100.8 seconds
Name: -, Instruction: Keep left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 457.3 meters, Time: 329.2 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 203.1 meters, Time: 146.2 seconds
Name: -, Instruction: Turn right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Scott Road, Instruction: Turn right onto Scott Road, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
