Name: Rannock Street, Instruction: Head west on Rannock Street, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 373.1 meters, Time: 268.6 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn slight left, Distance: 155.2 meters, Time: 111.8 seconds
Name: -, Instruction: Turn right, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 132.6 meters, Time: 95.4 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: Engelhart Crescent, Instruction: Turn right onto Engelhart Crescent, Distance: 129.6 meters, Time: 93.3 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
