Name: Caddies Boulevarde, Instruction: Head northwest on Caddies Boulevarde, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 345.5 meters, Time: 248.8 seconds
Name: -, Instruction: Continue straight, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Keep right, Distance: 261.5 meters, Time: 188.3 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Keep right, Distance: 1057.2 meters, Time: 761.2 seconds
Name: -, Instruction: Turn right, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Continue straight, Distance: 31.7 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Turn left, Distance: 59.1 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
