Name: Triller Avenue, Instruction: Head north on Triller Avenue, Distance: 106.3 meters, Time: 76.6 seconds
Name: -, Instruction: Turn left, Distance: 172.9 meters, Time: 124.5 seconds
Name: -, Instruction: Turn slight right, Distance: 194.0 meters, Time: 139.7 seconds
Name: -, Instruction: Keep left, Distance: 245.1 meters, Time: 176.5 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight right, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Keep left, Distance: 11.0 meters, Time: 7.9 seconds
Name: Claude Avenue, Instruction: Turn right onto Claude Avenue, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight left, Distance: 146.0 meters, Time: 105.1 seconds
Name: -, Instruction: Keep right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Continue straight, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight left, Distance: 285.8 meters, Time: 205.8 seconds
Name: -, Instruction: Keep left, Distance: 108.7 meters, Time: 78.2 seconds
Name: -, Instruction: Turn slight left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 629.6 meters, Time: 453.3 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 155.0 meters, Time: 111.6 seconds
Name: -, Instruction: Keep left, Distance: 241.2 meters, Time: 173.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
