Name: Georgina Street, Instruction: Head north on Georgina Street, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 176.0 meters, Time: 126.7 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 162.2 meters, Time: 116.7 seconds
Name: -, Instruction: Turn right, Distance: 278.6 meters, Time: 200.6 seconds
Name: Eastern Avenue, Instruction: Keep left onto Eastern Avenue, Distance: 58.3 meters, Time: 42.0 seconds
Name: Eastern Avenue, Instruction: Turn right onto Eastern Avenue, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Continue straight, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: Eastern Avenue, Instruction: Turn left onto Eastern Avenue, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Continue straight, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: Eastern Avenue, Instruction: Turn left onto Eastern Avenue, Distance: 72.3 meters, Time: 52.1 seconds
Name: Eastern Avenue, Instruction: Turn right onto Eastern Avenue, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Continue straight, Distance: 109.9 meters, Time: 79.2 seconds
Name: University Place, Instruction: Turn left onto University Place, Distance: 3.8 meters, Time: 2.8 seconds
Name: University Place, Instruction: Turn right onto University Place, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
