Name: Rue Brézin, Instruction: Head east on Rue Brézin, Distance: 180.7 meters, Time: 130.1 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 228.4 meters, Time: 164.4 seconds
Name: -, Instruction: Turn slight left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight right, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn right, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Allée Mary Reynolds, Instruction: Turn left onto Allée Mary Reynolds, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 668.0 meters, Time: 480.9 seconds
Name: -, Instruction: Turn left, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: Allée de la Vanne, Instruction: Turn left onto Allée de la Vanne, Distance: 91.4 meters, Time: 65.8 seconds
Name: Allée du Lac, Instruction: Keep right onto Allée du Lac, Distance: 208.8 meters, Time: 150.3 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Keep right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn slight right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
