Name: Bartil Close, Instruction: Head northwest on Bartil Close, Distance: 107.4 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 102.7 meters, Time: 74.0 seconds
Name: -, Instruction: Turn right, Distance: 254.8 meters, Time: 183.4 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 84.7 meters, Time: 61.0 seconds
Name: Pembroke Street, Instruction: Continue straight onto Pembroke Street, Distance: 48.8 meters, Time: 35.1 seconds
Name: Stanley Road, Instruction: Turn right onto Stanley Road, Distance: 408.5 meters, Time: 294.1 seconds
Name: -, Instruction: Turn left, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
